Region_ID,date,cases,PRECTOTCORR,T2M,T2M_MAX,T2M_MIN,RH2M,NDVI,Rain_Lag_1W,Temp_Lag_1W,Humid_Lag_1W,Rain_Lag_2W,Temp_Lag_2W,Humid_Lag_2W,Rain_Lag_3W,Temp_Lag_3W,Humid_Lag_3W,Rain_Lag_4W,Temp_Lag_4W,Humid_Lag_4W,Rain_Lag_6W,Temp_Lag_6W,Humid_Lag_6W,Rain_Lag_8W,Temp_Lag_8W,Humid_Lag_8W,Rain_Lag_12W,Temp_Lag_12W,Humid_Lag_12W,Cases_Lag_1,Cases_Lag_2,Cases_Lag_3,Cases_Lag_4,Cases_Lag_8,Cases_Lag_12,Mean_Temp_4W,Mean_Rain_4W,Std_Rain_4W,Max_Rain_4W,Cases_Roll_4W_Mean,Cases_Roll_4W_Std,Cases_Roll_4W_Max,Mean_Temp_8W,Mean_Rain_8W,Std_Rain_8W,Max_Rain_8W,Cases_Roll_8W_Mean,Cases_Roll_8W_Std,Cases_Roll_8W_Max,Mean_Temp_12W,Mean_Rain_12W,Std_Rain_12W,Max_Rain_12W,Cases_Roll_12W_Mean,Cases_Roll_12W_Std,Cases_Roll_12W_Max,Cases_Diff_1,Cases_Diff_4,Cases_Pct_1,Cases_Pct_4,Cases_vs_4W_Avg,Cases_vs_8W_Avg,Rain_x_Humidity,Temp_x_Rain,Rain_x_NDVI,Rain4_x_Humid4,Month,Week_of_Year,Year,Sin_Month,Cos_Month,Sin_Week,Cos_Week,Temp_Range,Cases_Target
BARMM,2016-04-17,23.0,8.79,29.70714285714286,37.74,23.04,69.34285714285714,5.650000000000001e-05,11.18,29.27857142857143,67.08428571428571,1.09,28.27857142857143,67.53714285714285,0.18,27.58142857142857,71.16,0.38,27.178571428571427,75.41571428571429,14.85,27.695714285714285,75.69571428571429,6.9,25.56,78.05857142857143,2.31,25.47,80.08714285714287,33.0,18.0,28.0,26.0,27.0,30.0,28.71142857142857,5.31,5.498260330928928,11.18,25.5,6.454972243679029,33.0,28.00875,10.217500000000001,9.483070253276175,25.450000000000003,24.0,7.596991885890474,33.0,27.29166666666666,9.6525,8.130330559085529,25.450000000000003,25.75,6.995128174795525,36.0,-10.0,-3.0,-0.303030303030303,-0.11538461538461542,0.8679245283018868,0.92,6.095237142857141,2.6112578571428573,0.000496635,0.28657971428571427,4,15,2016,0.8660254037844387,-0.4999999999999998,0.9709418174260521,-0.2393156642875575,14.700000000000003,32.0
BARMM,2016-04-24,35.0,37.620000000000005,28.35142857142857,37.22,22.25,71.95428571428572,5.550000000000001e-05,8.79,29.70714285714286,69.34285714285714,11.18,29.27857142857143,67.08428571428571,1.09,28.27857142857143,67.53714285714285,0.18,27.58142857142857,71.16,19.82,27.56142857142857,74.96714285714286,25.450000000000003,26.78857142857143,76.87714285714286,1.61,24.74571428571429,79.95714285714287,23.0,33.0,18.0,28.0,11.0,36.0,28.903928571428573,14.670000000000002,15.894164547615164,37.620000000000005,27.25,8.098353742170895,35.0,28.204107142857143,11.73875,12.704637440714317,37.620000000000005,27.0,6.3695705170308425,35.0,27.592142857142857,12.653333333333334,11.022968857083942,37.620000000000005,25.666666666666668,6.866696087021411,35.0,12.0,7.0,0.5217391304347827,0.25,1.238938053097345,1.25,27.06920228571429,10.66580742857143,0.0020879100000000005,0.128088,4,16,2016,0.8660254037844387,-0.4999999999999998,0.9350162426854148,-0.35460488704253545,14.969999999999999,29.0
BARMM,2016-05-01,32.0,55.98,27.68,34.33,23.58,79.49142857142859,5.899000000000001e-05,37.620000000000005,28.35142857142857,71.95428571428572,8.79,29.70714285714286,69.34285714285714,11.18,29.27857142857143,67.08428571428571,1.09,28.27857142857143,67.53714285714285,0.38,27.178571428571427,75.41571428571429,14.85,27.695714285714285,75.69571428571429,11.54,26.90714285714285,79.48428571428572,35.0,23.0,33.0,18.0,20.0,27.0,28.754285714285714,28.392500000000002,22.55914504142389,55.98,30.75,5.315072906367325,35.0,28.202142857142857,16.880000000000003,20.23435339077721,55.98,28.5,5.879747322073335,35.0,27.65654761904762,16.356666666666666,16.645907677992284,55.98,26.083333333333332,7.102603022622741,35.0,-3.0,14.0,-0.08571428571428574,0.7777777777777777,1.0078740157480315,1.0847457627118644,44.49930171428572,15.495263999999999,0.0033022602000000005,0.7361548571428571,5,17,2016,0.49999999999999994,-0.8660254037844387,0.8854560256532099,-0.4647231720437685,10.75,37.0
BARMM,2016-05-08,29.0,28.41,28.305714285714288,35.55,21.95,75.21285714285715,6.248000000000001e-05,55.98,27.68,79.49142857142859,37.620000000000005,28.35142857142857,71.95428571428572,8.79,29.70714285714286,69.34285714285714,11.18,29.27857142857143,67.08428571428571,0.18,27.58142857142857,71.16,19.82,27.56142857142857,74.96714285714286,14.04,26.217142857142854,79.43571428571428,32.0,35.0,23.0,33.0,33.0,27.0,28.51107142857143,32.7,19.632091075583364,55.98,29.75,5.123475382979799,35.0,28.295178571428572,17.95375,20.636573592601486,55.98,28.0,5.60611910581388,35.0,27.830595238095242,17.554166666666667,16.977676497166044,55.98,26.25,7.149380138420139,35.0,-3.0,-4.0,-0.09375,-0.12121212121212122,0.943089430894309,1.0,21.367972714285717,8.04165342857143,0.0017750568000000004,7.500023142857143,5,18,2016,0.49999999999999994,-0.8660254037844387,0.8229838658936565,-0.5680647467311557,13.599999999999998,30.0
BARMM,2016-05-15,37.0,60.56,28.38714285714286,34.89,23.26,76.94714285714285,6.095666666666667e-05,28.41,28.305714285714288,75.21285714285715,55.98,27.68,79.49142857142859,37.620000000000005,28.35142857142857,71.95428571428572,8.79,29.70714285714286,69.34285714285714,1.09,28.27857142857143,67.53714285714285,0.38,27.178571428571427,75.41571428571429,6.9,25.56,78.05857142857143,29.0,32.0,35.0,23.0,26.0,27.0,28.18107142857143,45.6425,15.173609491482242,60.56,33.25,3.5,37.0,28.44625,25.47625,24.008418129302655,60.56,29.375,6.345695954176904,37.0,28.066190476190474,22.025833333333335,20.597213606051994,60.56,27.083333333333332,7.798115545476744,37.0,8.0,14.0,0.27586206896551735,0.6086956521739131,1.0802919708029197,1.2181069958847737,46.599189714285714,17.191253714285715,0.003691535733333334,6.095237142857141,5,19,2016,0.49999999999999994,-0.8660254037844387,0.7485107481711013,-0.663122658240795,11.629999999999999,37.0
BARMM,2016-05-22,30.0,106.64,26.97714285714286,32.55,22.17,84.73285714285714,5.943333333333334e-05,60.56,28.38714285714286,76.94714285714285,28.41,28.305714285714288,75.21285714285715,55.98,27.68,79.49142857142859,37.620000000000005,28.35142857142857,71.95428571428572,11.18,29.27857142857143,67.08428571428571,0.18,27.58142857142857,71.16,25.450000000000003,26.78857142857143,76.87714285714286,37.0,29.0,32.0,35.0,28.0,11.0,27.837500000000002,62.8975,32.435113046409036,106.64,32.0,3.5590260840104366,37.0,28.37071428571429,38.78375,34.981151225644766,106.64,29.625,6.323143431644014,37.0,28.081904761904763,28.791666666666668,32.00172092910383,106.64,28.666666666666668,5.944184833375668,37.0,-7.0,-5.0,-0.18918918918918914,-0.1428571428571429,0.9090909090909091,0.9795918367346939,90.35911885714286,28.768425142857144,0.006337970666666667,27.06920228571429,5,20,2016,0.49999999999999994,-0.8660254037844387,0.6631226582407952,-0.7485107481711012,10.379999999999995,53.0
BARMM,2016-05-29,37.0,51.22,26.947142857142858,33.2,22.8,83.31142857142858,5.791e-05,106.64,26.97714285714286,84.73285714285714,60.56,28.38714285714286,76.94714285714285,28.41,28.305714285714288,75.21285714285715,55.98,27.68,79.49142857142859,8.79,29.70714285714286,69.34285714285714,1.09,28.27857142857143,67.53714285714285,14.85,27.695714285714285,75.69571428571429,30.0,37.0,29.0,32.0,18.0,20.0,27.654285714285717,61.7075,32.858065854013184,106.64,33.25,4.349329450233296,37.0,28.204285714285714,45.050000000000004,31.58996450050011,106.64,32.0,4.690415759823429,37.0,28.019523809523815,31.8225,32.282334354312674,106.64,30.083333333333332,5.71216140167519,37.0,7.0,5.0,0.2333333333333334,0.15625,1.0802919708029197,1.121212121212121,42.672113714285715,13.802326571428571,0.0029661502,44.49930171428572,5,21,2016,0.49999999999999994,-0.8660254037844387,0.5680647467311558,-0.8229838658936564,10.400000000000002,59.0
BARMM,2016-06-05,53.0,64.72,26.59,32.51,22.06,84.98571428571428,5.802e-05,51.22,26.947142857142858,83.31142857142858,106.64,26.97714285714286,84.73285714285714,60.56,28.38714285714286,76.94714285714285,28.41,28.305714285714288,75.21285714285715,37.620000000000005,28.35142857142857,71.95428571428572,11.18,29.27857142857143,67.08428571428571,19.82,27.56142857142857,74.96714285714286,37.0,30.0,37.0,29.0,33.0,33.0,27.225357142857142,70.785,24.56084349800173,106.64,39.25,9.74251849711699,53.0,27.868214285714284,51.7425,28.950441768156633,106.64,34.5,8.815570640309435,53.0,27.938571428571425,35.564166666666665,33.34915140213352,106.64,31.75,8.750324669301238,53.0,16.0,24.0,0.43243243243243246,0.8275862068965518,1.3167701863354038,1.4929577464788732,55.00275428571428,17.209048,0.0037550543999999996,21.367972714285717,6,22,2016,1.2246467991473532e-16,-1.0,0.46472317204376906,-0.8854560256532096,10.45,84.0
BARMM,2016-06-12,59.0,67.75,26.67714285714285,31.52,23.17,83.80714285714285,5.813000000000001e-05,64.72,26.59,84.98571428571428,51.22,26.947142857142858,83.31142857142858,106.64,26.97714285714286,84.73285714285714,60.56,28.38714285714286,76.94714285714285,55.98,27.68,79.49142857142859,8.79,29.70714285714286,69.34285714285714,0.38,27.178571428571427,75.41571428571429,53.0,37.0,30.0,37.0,23.0,26.0,26.79785714285714,72.58250000000001,23.81485303334876,106.64,44.75,13.524668819112232,59.0,27.489464285714284,59.1125,23.43283456422388,106.64,39.0,11.019463300386793,59.0,27.896785714285716,41.178333333333335,32.548705834720245,106.64,34.5,11.524677080863558,59.0,6.0,22.0,0.1132075471698113,0.5945945945945945,1.289617486338798,1.475,56.77933928571428,18.07376428571428,0.003938307500000001,46.599189714285714,6,23,2016,1.2246467991473532e-16,-1.0,0.35460488704253584,-0.9350162426854147,8.349999999999998,67.0
BARMM,2016-06-19,84.0,74.65,26.65428571428572,32.54,22.99,83.87428571428572,5.776e-05,67.75,26.67714285714285,83.80714285714285,64.72,26.59,84.98571428571428,51.22,26.947142857142858,83.31142857142858,106.64,26.97714285714286,84.73285714285714,28.41,28.305714285714288,75.21285714285715,37.620000000000005,28.35142857142857,71.95428571428572,0.18,27.58142857142857,71.16,59.0,53.0,37.0,30.0,35.0,28.0,26.717142857142857,64.58500000000001,9.831291878486788,74.65,58.25,19.517086531208154,84.0,27.27732142857143,63.74125,22.20607345332095,106.64,45.125,19.119455312026318,84.0,27.81952380952381,47.384166666666665,31.087766508952548,106.64,39.166666666666664,18.109933654480816,84.0,25.0,54.0,0.423728813559322,1.7999999999999998,1.4177215189873418,1.8211382113821137,62.6121542857143,19.89742428571429,0.004311784000000001,90.35911885714286,6,24,2016,1.2246467991473532e-16,-1.0,0.23931566428755768,-0.970941817426052,9.55,110.0
